5000	0	0.01	0.01	0.83	0	0	0	131.213	349.18	23.9104	0	0
Forbes	0	0.01	0.01	0.83	1	0	0	131.213	376.079	32.3627	0	0
Avenue	0	0.01	0.01	0.83	1	0	0	131.213	411.431	36.1167	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
Pittsburgh	0	0.01	0.01	0.83	1	1	0	145.649	346	51.6943	0	0
,	0	0.01	0.01	0.83	1	1	0	145.649	346	51.6943	0	0
PA	0	0.01	0.01	0.83	1	1	0	145.649	400.683	17.1677	0	0
,	0	0.01	0.01	0.83	1	1	0	145.649	400.683	17.1677	0	0
15213	0	0.01	0.01	0.83	0	0	0	145.649	420.84	29.888	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
tom.mitchell@cs.cmu.edu	0	0.01	0.01	0.83	0	0	0	160.085	315.873	164.982	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
Abstract	0	0.01	0.01	0.83	1	0	0	204.142	158.892	44.4853	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
This	0	0.02	0.02	0.76	1	0	0	229.472	89.009	19.3964	0	0
paper	0	0.02	0.02	0.76	0	0	0	229.472	121.082	24.2291	0	0
introduces	0	0.02	0.02	0.76	0	0	0	229.472	157.987	45.4473	0	0
FactChecker	0	0.02	0.02	0.76	1	1	0	229.472	216.111	57.1528	0	0
,	0	0.02	0.02	0.76	1	1	0	229.472	216.111	57.1528	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
language-aware	0	0.02	0.02	0.76	0	0	0	243.496	89.009	68.7819	0	0
approach	0	0.02	0.02	0.76	0	0	0	243.496	160.835	39.9819	0	0
to	0	0.02	0.02	0.76	0	0	0	243.496	203.849	8.48728	0	0
truth-ﬁnding.	0	0.02	0.02	0.76	0	0	0	243.496	215.38	57.8837	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
FactChecker	0	0.02	0.02	0.76	1	0	0	257.519	89.009	54.8619	0	0
differs	0	0.02	0.02	0.76	0	0	0	257.519	146.293	28.2	0	0
from	0	0.02	0.02	0.76	0	0	0	257.519	176.925	21.2073	0	0
prior	0	0.02	0.02	0.76	0	0	0	257.519	200.555	21.2073	0	0
approaches	0	0.02	0.02	0.76	0	0	0	257.519	224.195	49.0691	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
in	0	0.02	0.02	0.76	0	0	0	271.543	89.009	8.48728	0	0
that	0	0.02	0.02	0.76	0	0	0	271.543	102.176	16.3636	0	0
it	0	0.02	0.02	0.76	0	0	0	271.543	123.22	6.06546	0	0
does	0	0.02	0.02	0.76	0	0	0	271.543	133.965	19.9964	0	0
not	0	0.02	0.02	0.76	0	0	0	271.543	158.642	13.9418	0	0
rely	0	0.02	0.02	0.76	0	0	0	271.543	177.264	16.9637	0	0
on	0	0.02	0.02	0.76	0	0	0	271.543	198.907	10.9091	0	0
iterative	0	0.02	0.02	0.76	0	0	0	271.543	214.496	35.3128	0	0
peer	0	0.02	0.02	0.76	0	0	0	271.543	254.489	18.7746	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
voting	0	0.02	0.02	0.76	0	1	0	285.566	89.009	30.3928	0	0
,	0	0.02	0.02	0.76	0	1	0	285.566	89.009	30.3928	0	0
instead	0	0.02	0.02	0.76	0	0	0	285.566	125.609	30.9055	0	0
it	0	0.02	0.02	0.76	0	0	0	285.566	162.035	6.06546	0	0
leverages	0	0.02	0.02	0.76	0	0	0	285.566	173.609	40.7564	0	0
language	0	0.02	0.02	0.76	0	0	0	285.566	219.875	39.3819	0	0
to	0	0.02	0.02	0.76	0	0	0	285.566	264.776	8.48728	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
infer	0	0.02	0.02	0.76	0	0	0	299.59	89.009	20.5964	0	0
believability	0	0.02	0.02	0.76	0	0	0	299.59	114.067	54	0	0
of	0	0.02	0.02	0.76	0	0	1	299.59	172.54	9.08728	0	0
fact	0	0.02	0.02	0.76	0	0	0	299.59	186.089	16.2436	0	0
candidates.	0	0.02	0.02	0.76	0	0	0	299.59	206.805	48.7637	0	0
In	0	0.02	0.02	0.76	1	0	0	299.59	264.176	9.08728	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
particular	0	0.02	0.02	0.76	0	1	0	313.613	89.009	44.0946	0	0
,	0	0.02	0.02	0.76	0	1	0	313.613	89.009	44.0946	0	0
FactChecker	0	0.02	0.02	0.76	1	0	0	313.613	137.053	54.8619	0	0
makes	0	0.02	0.02	0.76	0	0	0	313.613	195.613	27.7637	0	0
use	0	0.02	0.02	0.76	0	0	0	313.613	227.075	14.5418	0	0
of	0	0.02	0.02	0.76	0	0	1	313.613	245.315	9.08728	0	0
lin-	0	0.02	0.02	0.76	0	0	0	313.613	258.111	15.1527	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
guistic	0	0.02	0.02	0.76	0	0	0	327.636	89.009	29.0946	0	0
features	0	0.02	0.02	0.76	0	0	0	327.636	121.289	34.5273	0	0
to	0	0.02	0.02	0.76	0	0	0	327.636	159.002	8.48728	0	0
detect	0	0.02	0.02	0.76	0	0	0	327.636	170.675	26.0509	0	0
if	0	0.02	0.02	0.76	0	0	0	327.636	199.911	6.66546	0	0
a	0	0.02	0.02	0.76	0	0	0	327.636	209.773	4.84364	0	0
given	0	0.02	0.02	0.76	0	0	0	327.636	217.802	23.8037	0	0
source	0	0.02	0.02	0.76	0	0	0	327.636	244.791	28.4728	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
objectively	0	0.02	0.02	0.76	0	0	0	341.66	89.009	48.0437	0	0
states	0	0.02	0.02	0.76	0	0	0	341.66	142.344	24.24	0	0
facts	0	0.02	0.02	0.76	0	0	0	341.66	171.885	20.4873	0	0
or	0	0.02	0.02	0.76	0	0	0	341.66	197.664	9.08728	0	0
is	0	0.02	0.02	0.76	0	0	0	341.66	212.042	7.27637	0	0
speculative	0	0.02	0.02	0.76	0	0	0	341.66	224.62	48.6437	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
and	0	0.02	0.02	0.76	0	0	1	355.683	89.009	15.7527	0	0
opinionated.	0	0.02	0.02	0.76	0	0	0	355.683	111.438	54.24	0	0
To	0	0.02	0.02	0.76	1	0	0	355.683	180.907	11.2473	0	0
ensure	0	0.02	0.02	0.76	0	0	0	355.683	198.831	28.4728	0	0
that	0	0.02	0.02	0.76	0	0	0	355.683	233.98	16.3637	0	0
fact	0	0.02	0.02	0.76	0	0	0	355.683	257.02	16.2436	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
candidates	0	0.03	0.03	0.76	0	0	0	369.707	89.009	46.0473	0	0
mentioned	0	0.03	0.03	0.76	0	0	0	369.707	140.216	46.0582	0	0
in	0	0.03	0.03	0.76	0	0	0	369.707	191.435	8.48728	0	0
similar	0	0.03	0.03	0.76	0	0	0	369.707	205.082	30.3055	0	0
sources	0	0.03	0.03	0.76	0	0	0	369.707	240.547	32.7164	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
have	0	0.03	0.03	0.76	0	0	0	383.73	89.009	20.2146	0	0
similar	0	0.03	0.03	0.76	0	0	0	383.73	116.467	30.3055	0	0
believability	0	0.03	0.03	0.76	0	1	0	383.73	154.016	56.0182	0	0
,	0	0.03	0.03	0.76	0	1	0	383.73	154.016	56.0182	0	0
FactChecker	0	0.03	0.03	0.76	1	0	0	383.73	218.402	54.8619	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
augments	0	0.03	0.03	0.76	0	0	0	397.754	89.009	41.8146	0	0
objectivity	0	0.03	0.03	0.76	0	0	0	397.754	136.354	46.3964	0	0
with	0	0.03	0.03	0.76	0	0	0	397.754	188.271	19.3964	0	0
a	0	0.03	0.03	0.76	0	0	0	397.754	213.198	4.84364	0	0
co-mention	0	0.03	0.03	0.76	0	0	0	397.754	223.573	49.691	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
score	0	0.03	0.03	0.76	0	0	0	411.777	89.009	23.0182	0	0
to	0	0.03	0.03	0.76	0	0	0	411.777	115.605	8.48728	0	0
compute	0	0.03	0.03	0.76	0	0	0	411.777	127.671	37.5709	0	0
the	0	0.03	0.03	0.76	0	0	0	411.777	168.809	13.3309	0	0
overall	0	0.03	0.03	0.76	0	0	0	411.777	185.718	29.9673	0	0
believability	0	0.03	0.03	0.76	0	0	0	411.777	219.264	54	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
score	0	0.03	0.03	0.76	0	0	0	425.801	89.009	23.0182	0	0
of	0	0.03	0.03	0.76	0	0	1	425.801	114.634	9.08728	0	0
a	0	0.03	0.03	0.76	0	0	0	425.801	126.34	4.84364	0	0
fact	0	0.03	0.03	0.76	0	0	0	425.801	133.791	16.2436	0	0
candidate.	0	0.03	0.03	0.76	0	0	0	425.801	152.653	44.5309	0	0
Our	0	0.03	0.03	0.76	1	0	0	425.801	200.522	16.9637	0	0
experiments	0	0.03	0.03	0.76	0	0	0	425.801	220.104	53.16	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
on	0	0.03	0.03	0.76	0	0	0	439.824	89.009	10.9091	0	0
various	0	0.03	0.03	0.76	0	0	0	439.824	102.514	31.8437	0	0
datasets	0	0.03	0.03	0.76	0	0	0	439.824	136.954	34.5382	0	0
show	0	0.03	0.03	0.76	0	0	0	439.824	174.089	22.7564	0	0
that	0	0.03	0.03	0.76	0	0	0	439.824	199.442	16.3637	0	0
FactChecker	0	0.03	0.03	0.76	1	0	0	439.824	218.402	54.8619	0	2
0	0	0	0	0	0	0	0	0	0	0	0	0
yields	0	0.03	0.03	0.76	0	0	0	453.848	89.009	26.0618	0	0
higher	0	0.03	0.03	0.76	0	0	0	453.848	124.704	27.8728	0	0
accuracy	0	0.03	0.03	0.76	0	0	0	453.848	162.22	38.5964	0	0
than	0	0.03	0.03	0.76	0	0	0	453.848	210.449	18.7855	0	0
existing	0	0.03	0.03	0.76	0	0	0	453.848	238.878	34.3855	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
approaches.	0	0.03	0.03	0.76	0	0	0	467.871	89.009	51.7964	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0.03	0.03	0.83	0	0	0	491.628	72.001	5.9776	0	0
